Region,Country,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Senegal,2031493.20,1156578.36,874914.84
Europe,Switzerland,1737946.24,1085331.36,652614.88
Sub-Saharan Africa,Uganda,1752769.70,997894.31,754875.39
Sub-Saharan Africa,Cameroon,1505049.12,961148.16,543900.96
Sub-Saharan Africa,Zimbabwe,128921.65,86373.43,42548.22
Europe,United Kingdom,80912.70,56103.30,24809.40
Sub-Saharan Africa,Mozambique,866895.62,511663.11,355232.51
Asia,Kazakhstan,1478976.00,872928.00,606048.00
Sub-Saharan Africa,Madagascar,138269.30,92636.06,45633.24
Central America and the Caribbean,Belize,1564759.90,890855.77,673904.13
Middle East and North Africa,United Arab Emirates,130202.80,87231.76,42971.04
Central America and the Caribbean,Saint Lucia,1452015.50,857015.25,595000.25
Sub-Saharan Africa,Togo,3763993.80,3034268.80,729725.00
Asia,Malaysia,1316491.90,990003.80,326488.10
Central America and the Caribbean,Nicaragua,1066760.20,607332.46,459427.74
Sub-Saharan Africa,Togo,957327.80,545029.94,412297.86
Central America and the Caribbean,Nicaragua,2795865.03,2416800.63,379064.40
Europe,Moldova ,767608.16,532244.64,235363.52
Europe,Czech Republic,392221.70,262776.14,129445.56
Middle East and North Africa,Morocco,65240.16,21396.48,43843.68
Europe,Kosovo,499478.07,402644.32,96833.75
Asia,North Korea,1323626.80,826592.70,497034.10
Sub-Saharan Africa,The Gambia,797197.60,261452.80,535744.80
Australia and Oceania,Tuvalu,1083835.41,936888.61,146946.80
Central America and the Caribbean,Grenada,2287700.73,1844184.48,443516.25
Europe,Estonia,2038663.60,1227907.79,810755.81
Europe,Finland,828998.08,271882.24,557115.84
Central America and the Caribbean,Saint Kitts and Nevis ,3930095.87,2955437.74,974658.13
Central America and the Caribbean,Trinidad and Tobago,19451.84,6379.52,13072.32
Sub-Saharan Africa,Central African Republic,483286.22,285247.41,198038.81
Europe,Russia,1946414.40,1172345.16,774069.24
Central America and the Caribbean,Barbados,3806973.66,3068916.16,738057.50
Australia and Oceania,Palau,496346.29,344156.91,152189.38
North America,Mexico,647046.88,212208.64,434838.24
Central America and the Caribbean,The Bahamas,29902.65,22178.60,7724.05
Middle East and North Africa,Iran,1985057.28,1239649.92,745407.36
Australia and Oceania,Kiribati,2847046.40,1714804.96,1132241.44
Europe,Albania,3512656.14,3036408.94,476247.20
Asia,Brunei,1883800.60,1072493.38,811307.22
Sub-Saharan Africa,South Sudan,2946479.76,2546994.96,399484.80
Australia and Oceania,Papua New Guinea,4548913.89,3420789.78,1128124.11
Europe,Belarus,268804.25,180090.35,88713.90
Middle East and North Africa,Saudi Arabia,1945999.44,1215258.66,730740.78
Asia,Malaysia,1352954.92,798547.26,554407.66
Europe,Serbia,349870.26,206502.03,143368.23
Asia,Cambodia,1420900.00,855822.50,565077.50
Central America and the Caribbean,Panama,36508.29,27077.96,9430.33
Middle East and North Africa,Iran,693315.59,480731.61,212583.98
Sub-Saharan Africa,Sierra Leone,1265602.90,746989.95,518612.95
Sub-Saharan Africa,Rwanda,2697986.55,2332192.55,365794.00
Central America and the Caribbean,Haiti,158483.00,106178.60,52304.40
Central America and the Caribbean,Cuba,590646.00,510566.00,80080.00
North America,Mexico,2540801.84,1586707.26,954094.58
Middle East and North Africa,Israel,84542.70,48132.21,36410.49
Central America and the Caribbean,Cuba,792522.57,638876.32,153646.25
Sub-Saharan Africa,Chad,438146.64,258604.92,179541.72
Sub-Saharan Africa,Zambia,1180026.33,1020037.93,159988.40
Europe,Netherlands,267566.40,161157.96,106408.44
Australia and Oceania,Federated States of Micronesia,312103.68,102359.04,209744.64
Australia and Oceania,Federated States of Micronesia,75834.24,56245.76,19588.48
Europe,Hungary,423536.30,241129.49,182406.81
Asia,China,589186.24,367941.36,221244.88
Asia,Sri Lanka,33308.10,24704.40,8603.70
Sub-Saharan Africa,Democratic Republic of the Congo,209719.18,145415.22,64303.96
Europe,Estonia,465674.16,297386.88,168287.28
Europe,Estonia,124352.70,79413.60,44939.10
Europe,Serbia,3790524.00,2283071.10,1507452.90
Europe,Moldova ,956627.49,771166.24,185461.25
Middle East and North Africa,Oman,476110.80,286766.37,189344.43
Sub-Saharan Africa,Liberia,157581.76,51681.28,105900.48
Europe,Romania,2319565.17,1744316.34,575248.83
Europe,Russia,38036.72,23753.58,14283.14
Europe,Luxembourg,647493.20,389991.73,257501.47
Sub-Saharan Africa,Kenya,1954972.80,1113013.44,841959.36
Europe,Russia,155825.80,104398.36,51427.44
Middle East and North Africa,Yemen,320381.60,222146.40,98235.20
Europe,Denmark,2435881.76,1521185.64,914696.12
Sub-Saharan Africa,Cote d'Ivoire,79647.36,49739.04,29908.32
Sub-Saharan Africa,Uganda,31917.93,23673.32,8244.61
Middle East and North Africa,Morocco,1246961.64,735987.42,510974.22
Europe,Iceland,120334.50,68509.35,51825.15
Asia,China,6134050.33,4612814.66,1521235.67
Middle East and North Africa,Egypt,1403125.68,896058.24,507067.44
Sub-Saharan Africa,Republic of the Congo,652450.59,452396.61,200053.98
Australia and Oceania,New Zealand,6460003.20,5207603.20,1252400.00
Asia,Mongolia,923415.78,744393.28,179022.50
Sub-Saharan Africa,Botswana,903273.60,576844.80,326428.80
Middle East and North Africa,Israel,5795769.00,4672144.00,1123625.00
Europe,Serbia,1863111.81,1501910.56,361201.25
Europe,Croatia,987644.49,853739.29,133905.20
Sub-Saharan Africa,Mauritius ,3757774.23,3248293.83,509480.40
Asia,China,2691840.40,1621322.81,1070517.59
Europe,Georgia,2064021.20,1243180.93,820840.27
Asia,Taiwan,1853588.08,1157548.62,696039.46
Asia,Cambodia,1516209.60,913228.44,602981.16
Central America and the Caribbean,Saint Kitts and Nevis ,1293503.76,807781.14,485722.62
Australia and Oceania,Solomon Islands,207287.36,129449.04,77838.32
Sub-Saharan Africa,Togo,651428.00,392361.70,259066.30
Sub-Saharan Africa,Botswana,233311.65,156311.43,77000.22
Europe,Netherlands,193975.10,110434.73,83540.37
Sub-Saharan Africa,Ghana,1645790.16,1027780.74,618009.42
Asia,Malaysia,3172.20,2352.80,819.40
Middle East and North Africa,Jordan,2186473.20,1365432.30,821040.90
Sub-Saharan Africa,Niger,994010.88,326000.64,668010.24
Asia,Tajikistan,4517443.77,3641647.52,875796.25
Asia,Indonesia,3849324.36,3327431.56,521892.80
Australia and Oceania,Solomon Islands,794905.98,551172.42,243733.56
Middle East and North Africa,Pakistan,995382.30,566695.29,428687.01
Europe,Netherlands,620821.08,430465.32,190355.76
Middle East and North Africa,Lebanon,648983.50,369482.05,279501.45
Europe,Netherlands,947344.08,591607.62,355736.46
Asia,Brunei,2270118.06,1830010.56,440107.50
Middle East and North Africa,Afghanistan,305261.55,211662.45,93599.10
Australia and Oceania,Papua New Guinea,3386114.00,2039490.85,1346623.15
Australia and Oceania,Tuvalu,3798507.93,3062091.68,736416.25
Central America and the Caribbean,Haiti,16512.60,11062.92,5449.68
Central America and the Caribbean,Saint Kitts and Nevis ,446404.36,335696.72,110707.64
Sub-Saharan Africa,Gabon,3588100.40,2161149.31,1426951.09
Asia,China,289008.50,164539.55,124468.95
Europe,Moldova ,112451.46,71813.28,40638.18
Europe,Cyprus,762735.60,434243.88,328491.72
Australia and Oceania,Federated States of Micronesia,2026762.10,1153884.83,872877.27
Australia and Oceania,Nauru,1180718.00,672211.40,508506.60
Sub-Saharan Africa,Sierra Leone,6490610.07,5232276.32,1258333.75
Central America and the Caribbean,Grenada,1679540.50,956203.15,723337.35
Australia and Oceania,Samoa ,74593.35,55325.40,19267.95
Middle East and North Africa,Israel,633054.42,404278.56,228775.86
Europe,Denmark,366088.00,120064.00,246024.00
Sub-Saharan Africa,Sudan,1427233.32,911453.76,515779.56
Middle East and North Africa,Qatar,1212400.68,774258.24,438142.44
Asia,Thailand,1266603.45,1021047.20,245556.25
Middle East and North Africa,Qatar,2709765.60,1632119.34,1077646.26
Central America and the Caribbean,Cuba,211353.78,146548.62,64805.16
Asia,Tajikistan,1032408.30,587775.09,444633.21
Middle East and North Africa,Iran,913513.70,520085.51,393428.19
Australia and Oceania,Palau,583465.92,372610.56,210855.36
Asia,Myanmar,1339078.86,1157526.06,181552.80
Asia,South Korea,42227.58,31319.92,10907.66
Sub-Saharan Africa,Ethiopia,1429409.30,813797.39,615611.91
Australia and Oceania,Federated States of Micronesia,393131.20,245506.80,147624.40
Sub-Saharan Africa,Mozambique,981089.40,626539.20,354550.20
Europe,Montenegro,1159153.80,934428.80,224725.00
Middle East and North Africa,Syria,390832.86,270995.94,119836.92
Central America and the Caribbean,Dominica,710870.22,453972.96,256897.26
Middle East and North Africa,Israel,1169830.86,747072.48,422758.38
Sub-Saharan Africa,Burundi,534045.76,333506.64,200539.12
Asia,Maldives,496190.16,316874.88,179315.28
Europe,Andorra,694214.62,481354.98,212859.64
Central America and the Caribbean,Dominica,1468857.46,1104582.92,364274.54
Middle East and North Africa,Iraq,159828.90,90994.47,68834.43
Central America and the Caribbean,Saint Lucia,1577924.70,898350.81,679573.89
Europe,Montenegro,682935.88,473534.52,209401.36
Europe,Moldova ,436029.55,302334.45,133695.10
Europe,Georgia,149230.25,99979.55,49250.70
Europe,Germany,1414597.17,1222805.57,191791.60
Europe,Russia,1458359.64,931331.52,527028.12
Asia,Taiwan,364666.20,232881.60,131784.60
Central America and the Caribbean,El Salvador,492852.80,161638.40,331214.40
Central America and the Caribbean,Jamaica,864276.60,510117.30,354159.30
Sub-Saharan Africa,Kenya,810201.92,265717.76,544484.16
Asia,South Korea,3660317.64,3164050.44,496267.20
Europe,Cyprus,20107.52,6594.56,13512.96
Sub-Saharan Africa,Rwanda,1065917.12,349583.36,716333.76
Sub-Saharan Africa,Guinea-Bissau,4710853.14,3797560.64,913292.50
Sub-Saharan Africa,Angola,2426691.68,1515446.52,911245.16
Australia and Oceania,Kiribati,2395418.80,1442785.07,952633.73
Europe,Moldova ,280042.16,174883.74,105158.42
Sub-Saharan Africa,Senegal,1894387.60,1141008.89,753378.71
Europe,Czech Republic,125032.32,100792.32,24240.00
Sub-Saharan Africa,Nigeria,53264.97,39506.28,13758.69
Sub-Saharan Africa,Lesotho,763059.18,450376.29,312682.89
Europe,Montenegro,827325.40,471016.42,356308.98
Europe,Russia,1543422.88,963853.32,579569.56
Europe,Netherlands,2704082.00,1628696.05,1075385.95
Europe,Croatia,1693272.24,1057432.86,635839.38
Australia and Oceania,Australia,680930.46,588609.66,92320.80
Europe,Slovenia,112978.45,75691.99,37286.46
Middle East and North Africa,Azerbaijan,456859.70,260101.31,196758.39
Europe,Moldova ,298470.70,169926.61,128544.09
Sub-Saharan Africa,Comoros,197868.33,137198.07,60670.26
Sub-Saharan Africa,Madagascar,1902302.01,1644387.21,257914.80
Europe,Ireland,1406259.68,830009.04,576250.64
North America,Canada,223916.55,150017.01,73899.54
Middle East and North Africa,Oman,143517.88,99512.52,44005.36
Sub-Saharan Africa,Madagascar,367452.80,246181.76,121271.04
Europe,United Kingdom,456448.30,259867.09,196581.21
Asia,India,1168135.96,878439.92,289696.04
Sub-Saharan Africa,Rwanda,3295239.37,2478024.74,817214.63
Sub-Saharan Africa,Tanzania,1139427.76,672518.28,466909.48
Australia and Oceania,Tonga,556254.38,385696.02,170558.36
Europe,Czech Republic,641743.96,444972.84,196771.12
Australia and Oceania,Vanuatu,1493176.30,850101.49,643074.81
Europe,Slovenia,2241358.40,1399707.60,841650.80
Middle East and North Africa,Iraq,2094061.84,1307722.26,786339.58
Sub-Saharan Africa,Namibia,395922.80,265255.76,130667.04
Asia,Myanmar,833496.40,474529.72,358966.68
Asia,Bhutan,3151337.60,1898082.64,1253254.96
Europe,Ukraine,140657.33,97529.07,43128.26
Australia and Oceania,Federated States of Micronesia,932704.80,305894.40,626810.40
Europe,Ukraine,95057.34,60705.12,34352.22
Sub-Saharan Africa,Niger,1643748.70,935826.01,707922.69
Europe,Kosovo,218464.29,151478.91,66985.38
Asia,Mongolia,2434874.19,1962825.44,472048.75
Sub-Saharan Africa,Cape Verde,964018.65,833316.65,130702.00
Europe,Ireland,982920.36,627708.48,355211.88
Middle East and North Africa,Oman,2785838.40,1677938.76,1107899.64
Central America and the Caribbean,Saint Vincent and the Grenadines,4051532.40,2440279.11,1611253.29
Asia,Cambodia,1834799.61,1586036.81,248762.80
Asia,Kyrgyzstan,1201567.50,767340.00,434227.50
Europe,Liechtenstein,3429965.70,2964929.70,465036.00
Asia,Kazakhstan,88862.40,50591.52,38270.88
Sub-Saharan Africa,Uganda,324842.82,207449.76,117393.06
Europe,Andorra,1563525.70,890153.11,673372.59
Europe,Finland,154687.00,103635.40,51051.60
Sub-Saharan Africa,Burundi,1074553.83,928865.43,145688.40
Sub-Saharan Africa,The Gambia,142967.46,91301.28,51666.18
Europe,Monaco,238176.24,148738.86,89437.38
Europe,Poland,578076.29,400826.91,177249.38
Australia and Oceania,New Zealand,617481.48,464346.96,153134.52
Australia and Oceania,Solomon Islands,664859.52,218050.56,446808.96
Australia and Oceania,Kiribati,2127771.68,1600087.36,527684.32
Asia,Vietnam,533723.52,175042.56,358680.96
Europe,Belarus,585404.52,440225.04,145179.48
Australia and Oceania,Solomon Islands,1927958.95,1449827.90,478131.05
Middle East and North Africa,Kuwait,1488989.90,878838.45,610151.45
Sub-Saharan Africa,Mali,163705.19,113510.01,50195.18
Asia,Maldives,1177154.70,751749.60,425405.10
Middle East and North Africa,Egypt,1697867.28,1060302.42,637564.86
Central America and the Caribbean,Honduras,2487668.00,1498347.70,989320.30
Sub-Saharan Africa,Seychelles ,576800.64,340441.92,236358.72
Sub-Saharan Africa,Djibouti,63014.82,46737.68,16277.14
Australia and Oceania,Marshall Islands,294509.60,96588.80,197920.80
Central America and the Caribbean,Grenada,537047.83,372378.57,164669.26
Sub-Saharan Africa,Comoros,2369186.80,1426985.27,942201.53
Central America and the Caribbean,Saint Vincent and the Grenadines,509168.30,300523.65,208644.65
Sub-Saharan Africa,Republic of the Congo,59049.57,43796.68,15252.89
Central America and the Caribbean,The Bahamas,622864.33,431882.07,190982.26
Sub-Saharan Africa,Gabon,1523831.40,1228406.40,295425.00
Middle East and North Africa,Tunisia ,1172133.20,705987.73,466145.47
Sub-Saharan Africa,Swaziland,313196.48,102717.44,210479.04
Sub-Saharan Africa,Togo,1751265.39,1513828.19,237437.20
Europe,Lithuania,4293741.20,2586163.93,1707577.27
Australia and Oceania,Fiji,9205.30,6167.26,3038.04
Sub-Saharan Africa,Sierra Leone,4961568.99,3999670.24,961898.75
Asia,China,622287.75,537917.75,84370.00
Asia,Malaysia,346745.44,113720.32,233025.12
Asia,Philippines,295358.96,184448.94,110910.02
Asia,Laos,2488729.11,2151306.31,337422.80
Europe,Estonia,748252.32,477845.76,270406.56
Middle East and North Africa,Algeria,1187802.60,701070.30,486732.30
Middle East and North Africa,Azerbaijan,574367.22,463014.72,111352.50
Sub-Saharan Africa,Sudan,621008.30,353555.09,267453.21
Middle East and North Africa,Tunisia ,1065807.84,349547.52,716260.32
Asia,Kyrgyzstan,3822002.40,2302030.86,1519971.54
Europe,Vatican City,1974867.09,1707113.89,267753.20
Sub-Saharan Africa,Djibouti,350866.89,243284.31,107582.58
Middle East and North Africa,Bahrain,205207.92,121118.76,84089.16
Middle East and North Africa,Kuwait,1031516.64,831536.64,199980.00
Central America and the Caribbean,El Salvador,3319430.52,2869380.92,450049.60
Asia,Brunei,2199990.40,1325076.56,874913.84
Europe,Slovenia,1264657.12,789766.68,474890.44
Australia and Oceania,Samoa ,238484.88,140759.64,97725.24
Sub-Saharan Africa,Kenya,470356.15,326135.85,144220.30
Asia,Turkmenistan,139893.44,87362.16,52531.28
Central America and the Caribbean,Panama,905257.14,578111.52,327145.62
Sub-Saharan Africa,Liberia,811692.20,462116.06,349576.14
Europe,Serbia,932537.84,582361.26,350176.58
Europe,Spain,948239.30,559674.15,388565.15
Asia,Bangladesh,1970606.00,1121913.80,848692.20
Asia,South Korea,1044095.20,652027.80,392067.40
Asia,Taiwan,326313.65,218619.83,107693.82
Europe,United Kingdom,1103839.90,651513.45,452326.45
Australia and Oceania,Vanuatu,308378.24,192579.36,115798.88
Middle East and North Africa,Iraq,3188499.60,1920465.69,1268033.91
Asia,Maldives,60235.01,41765.79,18469.22
Central America and the Caribbean,El Salvador,82943.70,61518.80,21424.90
Asia,India,4095826.83,3080067.66,1015759.17
Central America and the Caribbean,Barbados,420786.60,281913.72,138872.88
Sub-Saharan Africa,Kenya,239585.60,144304.84,95280.76
Asia,Uzbekistan,1023266.52,603957.06,419309.46
Europe,Sweden,4074191.73,3521811.33,552380.40
Central America and the Caribbean,Honduras,2687543.67,2166509.92,521033.75
Central America and the Caribbean,Jamaica,413553.60,258260.40,155293.20
Central America and the Caribbean,Antigua and Barbuda ,875198.88,558915.84,316283.04
Sub-Saharan Africa,Mozambique,4746721.81,3569541.62,1177180.19
Sub-Saharan Africa,Ethiopia,397773.35,266495.57,131277.78
Asia,China,4051969.60,2440542.44,1611427.16
Middle East and North Africa,Syria,226123.56,144406.08,81717.48
Europe,Latvia,35258.07,26150.68,9107.39
Europe,Georgia,567778.31,393686.49,174091.82
Europe,Ireland,2246974.56,1403214.84,843759.72
Central America and the Caribbean,Jamaica,6143406.11,4619850.22,1523555.89
Central America and the Caribbean,Panama,408650.00,283350.00,125300.00
Sub-Saharan Africa,Sao Tome and Principe,419520.09,290887.11,128632.98
Asia,Nepal,604974.08,198410.24,406563.84
Asia,Myanmar,1764343.98,1525133.58,239210.40
Australia and Oceania,Kiribati,288306.20,193156.04,95150.16
Central America and the Caribbean,Saint Kitts and Nevis ,1271611.24,750536.22,521075.02
Central America and the Caribbean,Dominica,3114737.43,2510883.68,603853.75
Asia,North Korea,1177491.74,885475.48,292016.26
Sub-Saharan Africa,Comoros,357573.26,211048.53,146524.73
Asia,Thailand,247332.18,157950.24,89381.94
Middle East and North Africa,Syria,782184.06,676135.26,106048.80
Sub-Saharan Africa,Zimbabwe,3167076.80,1907562.52,1259514.28
Europe,Greece,84399.18,62598.32,21800.86
Sub-Saharan Africa,Democratic Republic of the Congo,230351.94,199120.74,31231.20
Europe,Slovenia,526387.36,328724.04,197663.32
Asia,Myanmar,3869489.82,3119312.32,750177.50
Europe,Bosnia and Herzegovina,1045842.55,786475.10,259367.45
Sub-Saharan Africa,Mozambique,224016.24,180586.24,43430.00
Sub-Saharan Africa,Cote d'Ivoire,314784.00,189597.60,125186.40
Australia and Oceania,Solomon Islands,1336125.63,1154973.23,181152.40
Australia and Oceania,Kiribati,1324903.20,827389.80,497513.40
Sub-Saharan Africa,Sao Tome and Principe,691305.28,226723.84,464581.44
Europe,Germany,483748.40,285520.20,198228.20
Australia and Oceania,Tuvalu,462582.24,151710.72,310871.52
Sub-Saharan Africa,Benin,806350.04,475927.62,330422.42
Middle East and North Africa,Kuwait,180499.80,120929.16,59570.64
Sub-Saharan Africa,Lesotho,3097431.45,2329272.90,768158.55
Europe,Vatican City,685875.12,404820.36,281054.76
Sub-Saharan Africa,Togo,332529.60,222784.32,109745.28
Europe,Andorra,2065470.48,1289867.22,775603.26
Europe,Malta,79649.02,47010.81,32638.21
Australia and Oceania,Vanuatu,3854387.04,3331807.84,522579.20
Asia,Japan,1487261.28,928780.92,558480.36
Europe,Slovenia,41985.00,31140.00,10845.00
Sub-Saharan Africa,Burkina Faso,4075778.73,3064991.46,1010787.27
Sub-Saharan Africa,Mauritania,554307.88,327166.14,227141.74
Europe,Sweden,764960.00,250880.00,514080.00
Middle East and North Africa,Tunisia ,1272974.94,812941.92,460033.02
Australia and Oceania,Federated States of Micronesia,731411.04,239877.12,491533.92
Europe,Hungary,29389.50,21798.00,7591.50
Sub-Saharan Africa,Cameroon,2465103.27,2130883.67,334219.60
Australia and Oceania,New Zealand,1259040.96,786259.44,472781.52
Central America and the Caribbean,Saint Lucia,1161438.96,741713.28,419725.68
Asia,Maldives,478356.30,282337.65,196018.65
Australia and Oceania,Vanuatu,1181023.96,697069.38,483954.58
Asia,China,1970811.70,1122030.91,848780.79
Middle East and North Africa,Iran,1822249.60,1097559.44,724690.16
Europe,France,1338889.50,855036.00,483853.50
Sub-Saharan Africa,Rwanda,3283569.87,2838382.27,445187.60
Sub-Saharan Africa,Sao Tome and Principe,3323157.20,2001571.33,1321585.87
Australia and Oceania,Marshall Islands,427338.72,266869.08,160469.64
Central America and the Caribbean,Dominica,1397147.44,872505.66,524641.78
Central America and the Caribbean,Panama,14041.65,10414.60,3627.05
Sub-Saharan Africa,Rwanda,2804110.26,2260477.76,543632.50
Europe,Georgia,2295925.38,1984642.98,311282.40
Middle East and North Africa,Jordan,1750918.40,996840.32,754078.08
Sub-Saharan Africa,Guinea-Bissau,632596.68,403986.24,228610.44
Europe,Luxembourg,46705.98,34641.52,12064.46
Sub-Saharan Africa,Mauritius ,37200.80,24923.36,12277.44
Central America and the Caribbean,Costa Rica,1400351.60,843445.99,556905.61
Sub-Saharan Africa,Angola,663582.99,534934.24,128648.75
Australia and Oceania,Palau,548148.48,179773.44,368375.04
Sub-Saharan Africa,Equatorial Guinea,1271576.46,1099175.66,172400.80
Asia,Vietnam,397207.80,275416.20,121791.60
Sub-Saharan Africa,Republic of the Congo,3250144.80,1957595.22,1292549.58
Sub-Saharan Africa,Togo,1984593.60,1129877.28,854716.32
Europe,United Kingdom,1146668.58,676791.99,469876.59
Europe,Belgium,3710100.66,3207083.86,503016.80
Europe,Denmark,5669434.26,4570301.76,1099132.50
Central America and the Caribbean,Nicaragua,2815421.51,2117201.02,698220.49
Central America and the Caribbean,Costa Rica,1025592.80,336358.40,689234.40
Europe,Norway,139466.80,84002.27,55464.53
Australia and Oceania,East Timor,22492.76,13275.78,9216.98
Central America and the Caribbean,The Bahamas,1698529.14,1468241.94,230287.20
Europe,Bosnia and Herzegovina,1059667.28,661752.42,397914.86
Asia,Bhutan,724297.26,462547.68,261749.58
Sub-Saharan Africa,Tanzania,3089692.40,1860953.11,1228739.29
Asia,Nepal,208637.65,139780.63,68857.02
Asia,Tajikistan,3084446.00,1857793.15,1226652.85
Europe,Iceland,603984.70,418791.30,185193.40
Central America and the Caribbean,Saint Vincent and the Grenadines,983451.70,559902.91,423548.79
Central America and the Caribbean,Saint Kitts and Nevis ,279808.00,168531.20,111276.80
Europe,Macedonia,278535.84,193131.36,85404.48
Australia and Oceania,Nauru,543337.38,346983.84,196353.54
Central America and the Caribbean,Grenada,1325070.06,782088.93,542981.13
Central America and the Caribbean,Guatemala,5253311.07,4234852.32,1018458.75
Central America and the Caribbean,Honduras,3596190.36,3108617.56,487572.80
Middle East and North Africa,Algeria,700589.56,485775.24,214814.32
Asia,Vietnam,789888.00,449702.40,340185.60
Europe,Latvia,303634.20,193905.60,109728.60
Asia,Taiwan,1969229.92,1229765.88,739464.04
Europe,Italy,72176.88,53533.12,18643.76
Sub-Saharan Africa,Cape Verde,3882648.70,2919757.40,962891.30
Europe,Macedonia,843969.44,276792.32,567177.12
Europe,Croatia,969345.52,572131.56,397213.96
Asia,Kazakhstan,1624857.20,1014708.30,610148.90
Central America and the Caribbean,Trinidad and Tobago,4294615.60,2586690.59,1707925.01
Asia,Malaysia,88892.62,52466.61,36426.01
Central America and the Caribbean,Panama,1460038.02,932403.36,527634.66
Central America and the Caribbean,Antigua and Barbuda ,463681.40,310651.88,153029.52
Europe,Moldova ,56560.40,37893.68,18666.72
Sub-Saharan Africa,Guinea-Bissau,640927.20,210201.60,430725.60
Europe,Russia,1909915.66,1436259.32,473656.34
Europe,Belgium,2129456.70,1716619.20,412837.50
Europe,Moldova ,1075811.00,612485.30,463325.70
Australia and Oceania,East Timor,83037.00,61588.00,21449.00
Middle East and North Africa,Saudi Arabia,69846.40,46794.88,23051.52
Sub-Saharan Africa,Chad,177354.10,122973.90,54380.20
Asia,Kyrgyzstan,1106052.42,706342.56,399709.86
Australia and Oceania,Fiji,2183376.80,1315070.02,868306.78
Europe,Denmark,184567.44,115260.66,69306.78
Middle East and North Africa,Bahrain,1193530.22,897536.44,295993.78
Sub-Saharan Africa,Cote d'Ivoire,1080460.29,933971.09,146489.20
Middle East and North Africa,Kuwait,3990657.51,3449602.71,541054.80
Middle East and North Africa,Bahrain,1512278.72,944404.08,567874.64
Asia,Myanmar,352506.05,236167.91,116338.14
Sub-Saharan Africa,Namibia,2832618.80,1706115.07,1126503.73
Asia,Uzbekistan,5084866.43,3823826.86,1261039.57
Asia,Vietnam,22280.04,16524.96,5755.08
Sub-Saharan Africa,Swaziland,1861800.57,1609376.97,252423.60
Sub-Saharan Africa,Lesotho,1886518.00,1136268.95,750249.05
Middle East and North Africa,Afghanistan,519626.40,170419.20,349207.20
Sub-Saharan Africa,Botswana,827899.08,528709.44,299189.64
Australia and Oceania,Palau,5379573.50,4045447.00,1334126.50
Australia and Oceania,Tuvalu,151134.24,49566.72,101567.52
Central America and the Caribbean,Panama,1277397.00,727253.10,550143.90
Middle East and North Africa,Azerbaijan,72200.70,41105.61,31095.09
Sub-Saharan Africa,Democratic Republic of the Congo,2440522.04,1835276.08,605245.96
Sub-Saharan Africa,Seychelles ,764308.32,477303.48,287004.84
Asia,Brunei,1111850.46,710045.28,401805.18
Asia,Brunei,1082070.00,651741.75,430328.25
Central America and the Caribbean,Belize,4364471.37,3282088.74,1082382.63
Sub-Saharan Africa,Madagascar,1949912.00,1174451.80,775460.20
Sub-Saharan Africa,Burundi,1441885.60,868462.34,573423.26
Central America and the Caribbean,Panama,66354.96,49215.04,17139.92
Sub-Saharan Africa,Zimbabwe,94994.90,63643.58,31351.32
Middle East and North Africa,Lebanon,462391.44,399700.24,62691.20
Asia,South Korea,1472197.36,868927.08,603270.28
Europe,Moldova ,6398016.98,4811317.96,1586699.02
Middle East and North Africa,Bahrain,439298.75,304601.25,134697.50
Europe,Slovakia,76617.96,56827.04,19790.92
North America,Canada,112133.56,77751.24,34382.32
Sub-Saharan Africa,Mali,422789.29,293153.91,129635.38
Sub-Saharan Africa,Democratic Republic of the Congo,501114.64,312941.46,188173.18
Asia,Kyrgyzstan,749798.94,563849.88,185949.06
Europe,United Kingdom,1775032.00,1069119.80,705912.20
Middle East and North Africa,Iran,86041.26,63816.24,22225.02
Australia and Oceania,Tuvalu,66047.07,48986.68,17060.39
Europe,Czech Republic,783803.46,500549.28,283254.18
Europe,Moldova ,27364.89,20296.36,7068.53
Australia and Oceania,Kiribati,768566.24,252062.72,516503.52
Europe,Italy,4033677.72,3033331.44,1000346.28
Sub-Saharan Africa,Cameroon,1145954.70,652419.81,493534.89
Sub-Saharan Africa,Angola,842934.56,526404.84,316529.72
Europe,Spain,1652965.02,1428855.42,224109.60
Europe,Bosnia and Herzegovina,638578.70,376904.85,261673.85
Central America and the Caribbean,Antigua and Barbuda ,632345.01,438455.79,193889.22
Central America and the Caribbean,Honduras,320101.33,240716.66,79384.67
Europe,Albania,424260.43,294173.97,130086.46
Middle East and North Africa,Azerbaijan,4490106.13,3376566.26,1113539.87
Europe,Denmark,567614.85,393573.15,174041.70
Sub-Saharan Africa,Democratic Republic of the Congo,799237.67,554175.93,245061.74
Central America and the Caribbean,Trinidad and Tobago,57500.79,42647.96,14852.83
Europe,Georgia,6062545.44,4559042.88,1503502.56
Europe,Malta,79398.30,58889.20,20509.10
Europe,Greece,993600.96,634529.28,359071.68
Asia,Kyrgyzstan,234733.44,76984.32,157749.12
Europe,Belarus,711959.20,233497.60,478461.60
Middle East and North Africa,Somalia,1181426.94,754477.92,426949.02
Australia and Oceania,Nauru,4004942.11,3011722.22,993219.89
Sub-Saharan Africa,Swaziland,78903.81,58522.44,20381.37
Europe,Italy,1113020.80,695071.20,417949.60
Middle East and North Africa,Israel,813703.88,564206.52,249497.36
Sub-Saharan Africa,Togo,2300073.72,1854158.72,445915.00
